lib_con_mod,n
0,856853
1,172598
2,82630
3,50011
4,34377
5,25579
6,19877
7,15792
8,13425
9,11542
10,10020
11,8586
12,7632
13,6892
14,6240
15,5550
16,5046
17,4648
18,4188
19,3984
20,3639
21,3428
22,3269
23,2981
24,2801
25,2634
26,2470
27,2285
28,2192
29,2136
30,1917
31,1915
32,1735
33,1695
34,1659
35,1581
36,1480
37,1406
38,1424
39,1368
40,1207
41,1153
42,1169
43,1092
44,1070
45,1029
46,981
47,990
48,947
49,932
50,901
51,820
52,793
53,761
54,760
55,728
56,676
57,683
58,608
59,704
60,647
61,596
62,608
63,584
64,574
65,543
66,530
67,543
68,506
69,483
70,442
71,470
72,458
73,420
74,421
75,471
76,421
77,377
78,407
79,388
80,362
81,376
82,354
83,349
84,344
85,332
86,327
87,329
88,321
89,305
90,265
91,299
92,263
93,260
94,258
95,252
96,260
97,234
98,235
99,217
100,234
101,219
102,198
103,219
104,198
105,170
106,188
107,239
108,200
109,162
110,166
111,189
112,156
113,180
114,164
115,150
116,162
117,161
118,151
119,160
120,144
121,137
122,150
123,134
124,122
125,153
126,141
127,122
128,103
129,138
130,117
131,114
132,126
133,108
134,118
135,116
136,121
137,121
138,119
139,103
140,100
141,113
142,89
143,102
144,95
145,96
146,92
147,101
148,92
149,79
150,89
151,87
152,84
153,95
154,88
155,77
156,87
157,80
158,77
159,93
160,92
161,78
162,51
163,79
164,81
165,71
166,74
167,77
168,84
169,53
170,65
171,54
172,60
173,58
174,64
175,63
176,53
177,54
178,57
179,55
180,70
181,59
182,44
183,44
184,47
185,64
186,61
187,44
188,47
189,49
190,56
191,40
192,41
193,47
194,52
195,37
196,42
197,44
198,54
199,25
200,48
201,40
202,46
203,37
204,45
205,43
206,51
207,39
208,38
209,33
210,44
211,39
212,37
213,35
214,41
215,34
216,22
217,39
218,34
219,45
220,41
221,29
222,33
223,36
224,28
225,32
226,32
227,29
228,25
229,26
230,25
231,33
232,28
233,29
234,37
235,27
236,36
237,30
238,33
239,26
240,24
241,21
242,13
243,15
244,26
245,33
246,27
247,18
248,26
249,16
250,21
251,25
252,24
253,18
254,24
255,12
256,27
257,22
258,24
259,19
260,16
261,19
262,25
263,20
264,20
265,19
266,21
267,26
268,20
269,20
270,21
271,13
272,14
273,12
274,20
275,18
276,11
277,20
278,14
279,15
280,14
281,11
282,16
283,18
284,15
285,26
286,26
287,16
288,12
289,14
290,9
291,12
292,19
293,14
294,15
295,17
296,18
297,8
298,13
299,11
300,12
301,14
302,8
303,16
304,18
305,11
306,15
307,10
308,12
309,13
310,11
311,11
312,12
313,8
314,12
315,12
316,15
317,9
318,12
319,8
320,8
321,15
322,11
323,11
324,7
325,16
326,10
327,13
328,8
329,9
330,8
331,14
332,7
333,14
334,6
335,12
336,13
337,10
338,6
339,14
340,11
341,6
342,9
343,12
344,12
345,12
346,9
347,10
348,6
349,9
350,8
351,11
352,11
353,11
354,6
355,5
356,13
357,10
358,7
359,10
360,11
361,8
362,3
363,9
364,7
365,13
366,5
367,4
368,4
369,2
370,8
371,8
372,5
373,11
374,8
375,14
376,5
377,9
378,4
379,7
380,11
381,9
382,4
383,6
384,2
385,4
386,7
387,3
388,7
389,8
390,7
391,5
392,6
393,4
394,4
395,9
396,5
397,3
398,2
399,4
400,6
401,2
402,8
403,9
404,7
405,5
406,5
407,4
408,5
409,7
410,6
411,5
412,8
413,4
414,4
415,7
416,6
417,3
418,15
419,6
420,4
421,5
422,5
423,1
424,5
425,7
426,5
427,5
428,5
429,1
430,2
431,3
432,3
433,5
434,8
435,4
436,6
437,4
438,4
439,4
440,2
441,2
442,6
443,3
444,4
445,6
446,4
447,6
448,1
449,1
450,4
451,4
452,1
453,1
454,1
455,1
456,6
457,2
458,2
459,6
461,6
462,4
463,4
464,2
465,2
466,4
467,2
468,7
469,4
470,3
471,3
472,7
473,5
474,5
475,3
476,2
477,3
478,3
479,2
480,3
482,2
483,6
484,3
485,3
486,2
487,7
488,3
489,6
490,1
491,2
492,6
493,3
494,1
495,6
497,6
498,3
499,3
500,3
501,7
502,3
503,3
504,4
505,5
506,4
507,6
508,1
509,2
512,1
513,2
514,4
516,1
517,1
518,2
519,1
520,3
521,3
522,1
523,5
524,1
525,6
527,3
528,5
529,3
530,3
531,1
532,2
533,3
535,1
537,1
539,1
540,2
541,1
542,2
543,2
546,2
547,1
548,3
549,1
552,2
553,2
554,1
555,2
556,1
557,1
560,1
561,3
563,2
565,3
566,1
567,1
568,3
569,3
570,2
571,2
572,1
573,2
574,3
575,2
576,3
577,1
578,1
579,3
580,1
581,1
582,2
583,2
585,2
587,1
588,1
590,1
591,1
592,1
593,1
594,1
595,1
596,3
597,1
598,3
601,1
602,3
604,1
605,4
607,2
608,1
611,2
612,3
613,1
615,3
616,1
617,1
618,2
620,2
621,3
623,3
624,1
625,1
630,4
631,2
633,2
634,2
636,3
637,1
638,1
639,1
640,2
642,1
643,1
644,2
646,2
648,3
650,1
651,2
652,1
653,2
656,2
657,1
662,1
663,1
665,1
666,2
667,2
668,4
669,1
670,1
671,2
673,1
674,4
675,1
676,2
677,4
678,1
680,2
681,1
684,1
685,1
686,1
687,1
689,1
690,2
691,1
692,1
695,1
698,2
701,1
705,1
707,1
708,1
710,3
714,1
715,2
722,1
726,2
730,1
733,1
736,1
737,1
741,1
745,1
746,1
750,1
752,1
754,1
755,2
756,1
757,2
758,1
760,1
762,1
767,1
777,1
778,1
783,1
784,2
789,1
791,1
793,1
798,1
803,1
807,1
810,1
811,1
816,1
820,1
823,1
832,1
838,1
852,1
856,1
864,1
868,1
873,1
882,1
887,1
903,1
904,1
917,1
922,2
960,1
973,1
984,1
1014,1
1015,1
1022,1
1039,1
1056,1
1089,1
1126,1
1144,1
1195,1
1254,1
1673,1
